# Based on the WLTC drive cycle,
# see #1264 for discussion and how to use this drive cycle,
# time [s],Power [W]
142.2,1.85730863
142.3,1.885128655
142.4,1.912962767
142.5,1.94081114
142.6,1.968673948
142.7,1.996551364
142.8,2.024443563
142.9,2.052350717
143,2.080273
143.1,0.977202179
143.2,0.982513385
143.3,0.987827062
143.4,0.99314322
143.5,0.998461871
143.6,1.003783026
143.7,1.009106697
143.8,1.014432893
143.9,1.019761627
144,1.02509291
144.1,0.951739786
144.2,0.956190343
144.3,0.96064299
144.4,0.965097734
144.5,0.969554583
144.6,0.974013547
144.7,0.978474632
144.8,0.982937848
144.9,0.987403201
145,0.991870701
145.1,1.904930294
145.2,1.923477704
145.3,1.94203593
145.4,1.960605062
145.5,1.979185187
145.6,1.997776395
145.7,2.016378775
145.8,2.034992415
145.9,2.053617405
146,2.072253833
146.1,2.63743458
146.2,2.667797879
146.3,2.69818105
146.4,2.728584288
146.5,2.759007788
146.6,2.789451745
146.7,2.819916355
146.8,2.850401813
146.9,2.880908315
147,2.911436055
147.1,2.637847919
147.2,2.662190354
147.3,2.686549831
147.4,2.710926488
147.5,2.735320458
147.6,2.759731877
147.7,2.78416088
147.8,2.808607602
147.9,2.83307218
148,2.857554747
148.1,2.002466253
148.2,2.013759094
148.3,2.025059719
148.4,2.036368166
148.5,2.047684471
148.6,2.059008674
148.7,2.07034081
148.8,2.081680918
148.9,2.093029035
149,2.104385199
149.1,1.079368461
149.2,1.081803285
149.3,1.084239407
149.4,1.08667683
149.5,1.089115555
149.6,1.091555586
149.7,1.093996925
149.8,1.096439574
149.9,1.098883536
150,1.101328813
150.1,-0.04555968
150.2,-0.04560673
150.3,-0.045653364
150.4,-0.04569958
150.5,-0.045745381
150.6,-0.045790767
150.7,-0.045835737
150.8,-0.045880293
150.9,-0.045924434
151,-0.045968162
151.1,-1.512446684
151.2,-1.501612785
151.3,-1.490766561
151.4,-1.479908097
151.5,-1.469037477
151.6,-1.458154787
151.7,-1.447260109
151.8,-1.436353529
151.9,-1.425435132
152,-1.414505001
152.1,-3.183132928
152.2,-3.129372363
152.3,-3.075562416
152.4,-3.021703858
152.5,-2.967797462
152.6,-2.913844
152.7,-2.859844244
152.8,-2.805798966
152.9,-2.751708939
153,-2.697574935
153.1,-3.066419619
153.2,-2.993581407
153.3,-2.920688203
153.4,-2.847741188
153.5,-2.774741543
153.6,-2.701690449
153.7,-2.628589088
153.8,-2.555438641
153.9,-2.482240288
154,-2.408995211
154.1,-1.740377274
154.2,-1.699558492
154.3,-1.658714785
154.4,-1.61784666
154.5,-1.576954626
154.6,-1.536039188
154.7,-1.495100857
154.8,-1.454140139
154.9,-1.413157542
155,-1.372153573
155.1,-0.366167606
